,Developer,Notable games,selected_titles,selected_titles_series
339,monolith productions,F.E.A.R. seriesMiddle-earth: Shadow of Mordor Middle-earth: Shadow of War,[],"['Middle-Earth: Shadow of War - The Desolation of Mordor', 'F.E.A.R. 2: Project Origin', 'Guardians of Middle-Earth', 'Middle-Earth: Shadow of War - Blade of Galadriel', 'Middle-Earth: Shadow of War', ""No One Lives Forever 2: A Spy in H.A.R.M.'s Way"", 'Middle-Earth: Shadow of Mordor - The Bright Lord DLC', 'Blood II: The Chosen - The Nightmare Levels', 'Middle-Earth: Shadow of Mordor - Game of the Year']"
340,monolith soft,Xenosaga seriesXenoblade Chronicles seriesProject X Zone series,['Xenoblade Chronicles'],"['Xenoblade Chronicles 2: Torna ~ The Golden Country', 'Project X Zone 2', 'Xenosaga I & II', 'Xenoblade Chronicles', 'Xenosaga Episode II: Jenseits von Gut und Bose', 'Xenoblade Chronicles 2', 'Xenosaga Episode III: Also sprach Zarathustra', 'Xenosaga Episode I: Der Wille zur Macht', 'Namco X Capcom']"
341,monster games,NASCAR Heat series,[],"['NASCAR Heat 2002', 'NASCAR Heat Evolution', 'NASCAR Heat 2']"
342,monte cristo,City Life seriesCities XL,"['City Life', 'Cities XL']","['City Life Deluxe', 'City Life', 'Cities XL', 'City Life 2008']"
343,moon studios,Ori series,[],"['Ori and the Will of the Wisps', 'Ori and the Blind Forest: Definitive Edition', 'Ori and the Blind Forest']"
344,mto,GT Advance series,[],"['GT Advance 2: Rally Racing', 'GT Advance Championship Racing', 'GT Pro Series', 'GT Advance 3: Pro Concept Racing']"
345,mythic entertainment,Dark Age of Camelot,['Dark Age of Camelot'],['Dark Age of Camelot']
346,nadeo,TrackMania,['TrackMania'],['TrackMania']
347,namco tales studio,Tales series,[],"['Tales of Graces', 'Tales of Graces F', 'Tales of Phantasia: Narikiri Dungeon X', 'Tales of the Abyss', 'Tales of Rebirth', 'Tales of Symphonia', 'Tales of Symphonia: Dawn of the New World', 'Tales of Vesperia', 'Tales of Hearts R', 'Tales of Xillia', 'Tales of Destiny (2006)', 'Tales of Hearts']"
348,namco,Tales series,[],['Tales of Fandom Vol.1']
349,namco bandai,Tales series,[],[]
350,naps team,Gekido series,[],"[""Gekido Advance: Kintaro's Revenge""]"
351,natsume,Harvest Moon seriesMetabots series,[],['Harvest Moon 3D: The Lost Valley']
352,naturalmotion,Backbreaker series,['Backbreaker'],['Backbreaker']
353,naughty dog,Crash Bandicoot seriesJak and Daxter seriesUncharted seriesThe Last of Us series,"['Crash Bandicoot', 'The Last of Us']","['Jak 3', 'Uncharted 2: Among Thieves', 'Jak II', 'Uncharted: The Lost Legacy', 'The Last of Us', 'The Last of Us: Part II', 'Crash Bandicoot', 'Jak X: Combat Racing', 'Rings of Power', ""Uncharted 3: Drake's Deception"", 'Crash Team Racing', 'The Last of Us Remastered', 'Jak and Daxter: The Precursor Legacy', 'Way of the Warrior', ""Uncharted 4: A Thief's End"", 'Keef the Thief: A Boy and His Lockpick', 'Crash Bandicoot 3: Warped', 'Crash Bandicoot 2: Cortex Strikes Back']"
354,ncsoft,AionLineage seriesBlade & Soul,[],['Lineage II: The Chaotic Throne']
355,ncsoft,AionLineage seriesBlade & Soul,[],['Lineage II']
356,neko entertainment,CocotoThe Mysterious Cities of Gold: Secret PathsKung Fu RabbitPuddle,"['Puddle', 'The Mysterious Cities of Gold: Secret Paths']","['The Mysterious Cities of Gold: Secret Paths', 'Puddle']"
358,netdevil,LEGO Universe,[],[]
359,netease,Fantasy Westward Journey,[],[]
