,Developer,Notable games,selected_titles,selected_titles_series
87,capcom vancouver,Dead Rising series,[],"['Dead Rising 3: Operation Broken Eagle', 'Dead Rising 3: Fallen Angel DLC', 'Dead Rising 3: Chaos Rising DLC', 'Dead Rising 3: The Last Agent DLC', 'Dead Rising 3']"
88,carbine studios,WildStar,['WildStar'],['WildStar']
89,cattle call,Metal Max seriesArc the Lad series,[],"['Metal Max Xeno', 'Dragon Quest IV: Chapters of the Chosen (2008)', 'Arc the Lad: Twilight of the Spirits', 'Arc the Lad: End of Darkness']"
90,cauldron,Chaser,['Chaser'],['Chaser']
91,cave,DoDonPachi,[],[]
92,cave,DoDonPachi,['DoDonPachi'],['DoDonPachi']
93,cavia,Drakengard seriesNier,"['Drakengard', 'Nier']","['Nier - The World of Recycled Vessel', 'Drakengard', 'Nier', 'Drakengard 2']"
94,ccp games,Eve Online,['Eve Online'],['Eve Online']
95,cd projekt red,The Witcher seriesCyberpunk 2077,['Cyberpunk 2077'],"['The Witcher 3: Wild Hunt - Hearts of Stone', 'The Witcher 3: Wild Hunt - Game of the Year Edition', 'Cyberpunk 2077', 'The Witcher 3: Wild Hunt - Blood and Wine', 'The Witcher 3: Wild Hunt', 'Gwent: The Witcher Card Game']"
96,cd projekt red,The Witcher seriesCyberpunk 2077,[],['Thronebreaker: The Witcher Tales']
97,certain affinity,Halo series,[],[]
98,chair entertainment,UndertowShadow ComplexInfinity Blade series,['Undertow'],"['Undertow', 'Shadow Complex: Remastered']"
99,chunsoft,Mystery Dungeon seriesDragon Quest I–V,[],[]
100,chunsoft,Mystery Dungeon seriesDragon Quest I–V,[],"['Dragon Warrior (1989)', 'Pokémon Mystery Dungeon: Explorers of Time and Explorers of Darkness', 'Dragon Warrior III', 'Dragon Warrior II', 'Pokémon Mystery Dungeon: Explorers of Sky', 'Pokémon Mystery Dungeon: Blue/Red Rescue Team', 'Torneko no Daibouken: Fushigi no Dungeon', 'Dragon Warrior IV']"
101,cing,Little King's Story,[],[]
102,clap hanz,Everybody's Golf seriesEverybody's Tennis series,[],"['Hot Shots Tennis', 'Hot Shots Golf 3', ""Everybody's Golf (2017)""]"
103,climax entertainment,Runabout series,[],[]
104,climax studios,Silent Hill: OriginsAssassin's Creed Chronicles series,"['Silent Hill: Origins', ""Assassin's Creed Chronicles""]","['Silent Hill: Shattered Memories', ""Assassin's Creed Chronicles: India"", ""Assassin's Creed Chronicles: Russia"", ""Assassin's Creed Chronicles"", 'Silent Hill: Origins']"
105,clover studio,Viewtiful Joe seriesOkamiGod Hand,"['God Hand', 'Okami']","['God Hand', 'Okami', 'Viewtiful Joe 2', 'Viewtiful Joe: Double Trouble!', 'Viewtiful Joe: Red Hot Rumble']"
106,codemasters,F1 seriesColin McRae Rally seriesOperation Flashpoint seriesGrid series,[],"['Colin McRae Rally 3', 'Colin McRae: Dirt', 'F1 2018', 'Race Driver: Grid', 'Operation Flashpoint: Red River', 'F1 2015', 'Grid Autosport', 'Dirt Rally 2.0', 'Operation Flashpoint: Dragon Rising', 'Colin McRae Rally 04']"
107,coffee stain studios,Goat Simulator Satisfactory,['Goat Simulator'],['Goat Simulator']
108,cohort studios,Buzz! Junior series,[],[]
109,coktel vision,Inca series,['Inca'],['Inca']
110,colossal order,Cities in MotionCities: Skylines,"['Cities in Motion', 'Cities: Skylines']","['Cities in Motion', 'Cities: Skylines']"
111,compile heart,Hyperdimension Neptunia franchiseMary Skelter seriesRecord of Agarest War,[],"['Mary Skelter: Nightmares', 'Record of Agarest War Zero', 'Dungeon of Windaria', 'Trillion: God of Destruction']"
112,compulsion games,ContrastWe Happy Few,"['Contrast', 'We Happy Few']","['Contrast', 'We Happy Few']"
113,core design,Tomb Raider series,[],[]
114,core design,Tomb Raider series,[],"['Tomb Raider: The Lost Artifact', 'Tomb Raider: The Last Revelation', 'Tomb Raider Chronicles', 'Tomb Raider Gold - The Shadow of the Cat', 'Tomb Raider Starring Lara Croft', 'Tomb Raider II', 'Tomb Raider: Curse of the Sword', 'Tomb Raider (2000)', 'Tomb Raider III', 'Tomb Raider II: Golden Mask', 'Tomb Raider: The Angel of Darkness']"
116,creat studios,American Chopper 2: Full Throttle,['American Chopper 2: Full Throttle'],['American Chopper 2: Full Throttle']
117,creative assembly,Total War seriesAlien: Isolation,[],"['Total War: Three Kingdoms', 'Total War Saga: Thrones of Britannia', 'Medieval: Total War - Gold Edition', 'Total War: Warhammer', 'SHOGUN: Total War - Gold Edition', 'Total War: Warhammer II', 'Total War Battles: Kingdom', 'Total War: Arena']"
118,creatures,Pokémon Ranger seriesDetective Pikachu,['Detective Pikachu'],['Detective Pikachu']
119,criterion games,Burnout series,['Burnout'],"['Burnout 3: Takedown', 'Burnout', 'Burnout 2: Point of Impact', 'Burnout Revenge', 'Burnout Paradise - Big Surf Island', 'Burnout Paradise Remastered', 'Burnout Crash!', 'Burnout Paradise']"
120,croteam,Serious Sam seriesThe Talos Principle,['The Talos Principle'],"['Serious Sam 3: BFE', 'Serious Sam II', 'Serious Sam Fusion 2017', 'The Talos Principle', 'Serious Sam (2002)', 'Serious Sam HD: The Second Encounter', 'Serious Sam: The First Encounter', 'Serious Sam HD: The First Encounter', 'The Talos Principle: Road To Gehenna DLC', 'Serious Sam HD: The Second Encounter - Legend of the Beast DLC', 'The Talos Principle Public Test', 'Serious Sam: The Second Encounter', 'Serious Sam 3: Jewel of the Nile']"
121,cryo interactive,DuneEgypt series,['Dune'],"[""Frank Herbert's Dune"", 'Dune']"
122,crea-tech,Metal Max series,['Metal Max'],"['Metal Max Returns', 'Metal Saga', 'Metal Max']"
123,cryptic studios,City of HeroesChampions OnlineStar Trek Online,"['Champions Online', 'Star Trek Online']","['Champions Online', 'Star Trek Online']"
124,crystal dynamics,Legacy Of Kain seriesTomb Raider series (second era),[],"['Blood Omen 2: Legacy of Kain', ""Tomb Raider: Underworld - Lara's Shadow DLC"", 'Rise of the Tomb Raider', 'Rise of the Tomb Raider - Baba Yaga: The Temple of the Witch', 'Legacy of Kain: Defiance', 'Rise of the Tomb Raider - Cold Darkness Awakened', 'Legacy of Kain: Soul Reaver', 'Rise of the Tomb Raider - Blood Ties', 'Tomb Raider: Underworld - Beneath the Ashes DLC', 'Legacy of Kain: Soul Reaver 2', 'Tomb Raider: Tomb of the Lost Adventurer DLC']"
125,crytek,Far CryCrysis seriesRyse: Son of Rome,"['Far Cry', 'Ryse: Son of Rome']","['Crysis Wars', 'Far Cry Classic', 'Far Cry', 'Ryse: Son of Rome']"
126,cyan worlds,Myst series,[],"['Uru: Ages Beyond Myst', 'Myst V: End of Ages']"
127,cyanide,Pro Cycling Manager series,[],"['Pro Rugby Manager 2015', 'Pro Cycling Manager 2013']"
128,cyberconnect2,.hack franchise .hack series .hack//G.U. series Naruto: Ultimate Ninja seriesDragon Ball Z: Kakarot,[],"['Naruto Shippuden: Ultimate Ninja Storm 2', '.hack//G.U. Vol. 4: Reconnection', 'Naruto: Ultimate Ninja Heroes', 'Naruto Shippuden: Ultimate Ninja Storm Revolution', 'Naruto Shippuden: Ultimate Ninja Storm 4', '.hack//G.U. Vol. 2: Reminisce', 'Naruto Shippuden: Ultimate Ninja Heroes 3', '.hack//G.U. Last Recode', 'Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto', '.hack//G.U. Vol. 3: Redemption', ""Naruto Shippuden: Ultimate Ninja Storm 4 - Shikamaru's Tale Extra Scenario Pack"", 'Naruto Shippuden: Ultimate Ninja 5', 'Naruto Shippuden: Ultimate Ninja 4', 'Naruto: Ultimate Ninja Heroes 2: The Phantom Fortress', ""Naruto Shippuden: Ultimate Ninja Storm 4 - Gaara's Tale Extra Scenario Pack DLC"", 'Naruto: Ultimate Ninja 2', 'Naruto: Ultimate Ninja Storm', 'Naruto Shippuden: Ultimate Ninja Storm 3', '.hack//G.U. Vol. 1: Rebirth', 'Naruto Shippuden: Ultimate Ninja Storm Generations']"
129,cyberconnect2,.hack franchise .hack series .hack//G.U. series Naruto: Ultimate Ninja seriesDragon Ball Z: Kakarot,['Naruto: Ultimate Ninja'],"['Naruto: Ultimate Ninja', 'Naruto: Ultimate Ninja 3']"
130,cyberstep,GetAmpedCosmic BreakGetAmped2Onigiri,['Onigiri'],['Onigiri']
131,cygames,The Idolmaster Cinderella Girls seriesGranblue Fantasy seriesShadowversePrincess Connect! seriesDragalia Lost,"['Granblue Fantasy', 'Shadowverse', 'Dragalia Lost']","['Dragalia Lost', 'Shadowverse', 'Granblue Fantasy']"
132,dambuster studios,Homefront: The RevolutionDead Island 2,[],[]
133,day 1 studios,Axis & Allies seriesMechAssault series,['MechAssault'],"['MechAssault', 'MechAssault 2: Lone Wolf']"
134,daybreak game company,EverQuest seriesPlanetSide seriesH1Z1 series,['H1Z1'],['H1Z1']
135,deadline games,Total OverdoseWatchmen: The End Is NighFaith and a .45,['Total Overdose'],['Total Overdose']
136,deck13,Ankh seriesThe Surge series,['The Surge'],"['The Surge: A Walk in the Park', 'The Surge', 'The Surge: The Good, the Bad and the Augmented', 'Black Sails: The Ghost Ship']"
138,dena,Final Fantasy Record KeeperPokémon MastersMario Kart Tour,[],[]
139,die gute fabrik,Where is my Heart?JoustSportsfriends,['Sportsfriends'],['Sportsfriends']
140,digital extremes,Warframe,['Warframe'],['Warframe']
142,digitalmindsoft,Men of War series,[],['Men of War: Assault Squad']
143,digitalmindsoft,Men of War series,[],['Men of War: Assault Squad 2']
144,digital reality,Imperium Galactica series,['Imperium Galactica'],['Imperium Galactica']
145,dimps,Street Fighter IVDragon Ball Z: Budokai seriesDragon Ball Xenoverse seriesSword Art Online: Fatal Bullet,"['Dragon Ball Z: Budokai', 'Dragon Ball Xenoverse', 'Sword Art Online: Fatal Bullet']","['Dragon Ball Z: Shin Budokai - Another Road', 'Dragon Ball Z: Budokai 3', 'Dragon Ball Z: Burst Limit', 'Dragon Ball Z: Budokai 2', 'Inuyasha: A Feudal Fairy Tale', 'Dragon Ball: Advanced Adventure', 'Super Monkey Ball 3D', 'Dragon Ball Z: Budokai', 'Dragon Ball Z: Infinite World', 'Sword Art Online: Fatal Bullet', 'Dragon Ball Xenoverse 2', 'Dragon Ball Xenoverse', 'Dragon Ball Z: Shin Budokai']"
147,dontnod entertainment,Life Is Strange seriesTell Me Why,[],"['Life Is Strange 2 - Episode 3: Wastelands', 'Life Is Strange 2 - Episode 2: Rules', 'Life Is Strange 2']"
148,dontnod entertainment,Life Is Strange seriesTell Me Why,['Life Is Strange'],"['Life Is Strange - Episode 4: Dark Room', 'Life Is Strange - Episode 1: Chrysalis', 'Life Is Strange', 'Life Is Strange 2 - Episode 1: Roads', 'Life Is Strange - Episode 3: Chaos Theory', 'Life Is Strange - Episode 2: Out of Time', 'Remember Me', 'Life Is Strange - Episode 5: Polarized']"
149,dotemu,Wonder Boy: The Dragon's Trap Streets of Rage 4,[],[]
150,double fine productions,PsychonautsBroken AgeGang Beasts,['Broken Age'],['Broken Age']
151,dynamix,Red BaronFront Page Sports seriesBetrayal at KrondorTribes seriesMechWarrior,"['Betrayal at Krondor', 'MechWarrior', 'Red Baron']","['Betrayal at Krondor', 'Tribes 2', 'Red Baron', 'Starsiege: Tribes', 'MechWarrior', 'Betrayal Collection', 'Red Baron 3D']"
152,dovetail games,Train Simulator franchise,[],[]
153,ea black box,Skate series,['Skate'],"['Skate 2', 'Skate 3', 'Skate']"
154,eat sleep play,Twisted Metal series,[],['Twisted Metal (2012)']
157,egosoft,X series,[],"['X Rebirth', 'X Rebirth - VR Edition', 'X Rebirth: Home of Light']"
158,eden games,Test Drive Unlimited series,[],['Test Drive Unlimited 2']
159,eighting,Kururin seriesKamen Rider: Climax seriesKamen Rider: Battride War seriesMarvel vs. Capcom 3: Fate of Two Worlds,['Kamen Rider: Battride War'],"['Kamen Rider: Climax Heroes Fourze', 'Naruto: Gekitou Ninja Taisen! 3', 'Naruto: Clash of Ninja Revolution 3', 'Kamen Rider: Battride War Genesis', 'Naruto: Clash of Ninja', 'Monster Hunter 3 Ultimate', 'Kuru Kuru Kururin', 'Tatsunoko vs. Capcom: Ultimate All-Stars', 'Kamen Rider: Climax Heroes OOO', 'Kamen Rider: Super Climax Heroes', 'Naruto: Clash of Ninja Revolution 2', 'Naruto: Clash of Ninja 2', 'Kamen Rider: Battride War']"
160,electronic arts,FIFA seriesNeed For Speed seriesPlants vs. Zombies series Apex Legends,[],"['FIFA Soccer 64', 'Skate or Die 2: The Search for Double Trouble', 'FIFA World', 'Ski or Die', 'FIFA Street (2012)', 'Bulls vs Lakers and the NBA Playoffs', 'Jordan vs. Bird: One on One']"
161,ea sports,FIFA seriesNeed For Speed seriesPlants vs. Zombies series Apex Legends,[],"['FIFA Manager 14', 'FIFA Soccer 96', 'FIFA 97']"
162,elemental games,Space Rangers,['Space Rangers'],['Space Rangers']
164,ensemble studios,Age of Empires seriesAge of MythologyHalo Wars,"['Age of Empires', 'Age of Mythology']","['Age of Empires III: Complete Collection', 'Age of Mythology: The Titans', 'Age of Mythology', 'Age of Empires II: The Conquerors', 'Age of Empires', 'Age of Empires: The Rise of Rome', 'Age of Empires II: The Age of Kings']"
165,epic games,Unreal seriesGears of War seriesShadow ComplexInfinity Blade seriesFortnite,['Gears of War'],"['Gears of War 3', 'Unreal Tournament 3', 'Gears of War 2', 'Jill of the Jungle: Jill Saves the Prince', 'Gears of War: Ultimate Edition', 'Jill of the Jungle: Jill Goes Underground', 'Unreal Tournament (2017)', 'Gears of War', 'Unreal Championship 2: The Liandri Conflict', 'Gears of War 2: Road to Ruin DLC', ""Gears of War 3: RAAM's Shadow DLC""]"
166,epics,PoPoLoCrois series,[],[]
167,epicenter studios,Real Heroes: Firefighter,['Real Heroes: Firefighter'],['Real Heroes: Firefighter']
168,epyx,California Games seriesImpossible Mission seriesJumpman seriesPitstop seriesSummer Games series,['California Games'],"['California Games', 'Impossible Mission (1984)', 'California Games II', 'World Games', 'Pitstop II', 'Jumpman Junior', 'Summer Games II']"
169,eugen systems,Act of War seriesWargame seriesSteel Division series,[],"['Act of War: High Treason', 'Steel Division: Normandy 44', 'Act of War: Direct Action', 'Act of Aggression']"
170,eurocom,GoldenEye 007,[],[]
171,evolution studios,World Rally Championship seriesMotorStorm series,['MotorStorm'],"['World Rally Championship (2001)', 'MotorStorm', 'WRC: Rally Evolved']"
172,examu,Arcana Heart series,[],['Arcana Heart 3 LOVEMAX SIXSTARS!!!!!!']
173,examu,Arcana Heart series,['Arcana Heart'],"['Arcana Heart 3: LOVE MAX!!!!!', 'Arcana Heart', 'Arcana Heart 3']"
174,eyedentity games,Dragon Nest,['Dragon Nest'],['Dragon Nest']
175,facepunch studios,Garry's Mod  Rust,"[""Garry's Mod"", 'Rust']","['Rust', ""Garry's Mod""]"
176,farsight studios,The Pinball Arcade,['The Pinball Arcade'],['The Pinball Arcade']
177,fasa studio,MechCommander seriesMechWarrior 4,[],['MechWarrior 4: Mercenaries']
178,fatshark,War of the RosesWarhammer: Vermintide series,['War of the Roses'],"['Warhammer: Vermintide 2', 'Warhammer: End Times - Vermintide', 'War of the Roses', 'War of the Roses: Kingmaker', 'Warhammer: Vermintide VR - Hero Trials', 'War of the Vikings', 'Lead and Gold: Gangs of the Wild West']"
179,feelplus,No More Heroes: Heroes' Paradise,[],[]
180,felistella,Summon Night 5,['Summon Night 5'],['Summon Night 5']
181,firaxis games,Civilization series (part 3 and later)XCOM (Reboot) series,[],"[""Sid Meier's Civilization VI: Gathering Storm"", ""Sid Meier's Civilization V: Gods & Kings"", ""Sid Meier's Civilization IV: Beyond the Sword"", ""Sid Meier's Civilization V"", ""Sid Meier's Civilization IV: Colonization"", ""Sid Meier's Civilization IV"", ""Sid Meier's Civilization IV: Warlords"", ""Sid Meier's Civilization V: Brave New World""]"
182,firefly studios,Stronghold series,[],['Stronghold Next']
183,firefly studios,Stronghold series,['Stronghold'],"['Stronghold 2', 'Stronghold', 'Stronghold Kingdoms', 'Stronghold 3', 'Stronghold Legends']"
186,flagship studios,Hellgate:LondonMythos,['Mythos'],['Mythos']
187,flight-plan,Black/Matrix seriesSummon Night series,[],"['Black Matrix Zero', 'Summon Night Granthese: Horobi no Tsurugi to Yakusoku no Kishi', 'Summon Night 2', 'Summon Night: Swordcraft Story 2', 'Summon Night: Twin Age', 'Summon Night: Swordcraft Story', 'Black/Matrix AD', 'Summon Night 3']"
188,flying wild hog,Hard ResetShadow Warrior series,[],"['Hard Reset Redux', 'Hard Reset: Exile DLC', 'Hard Reset: Extended Edition', 'Shadow Warrior 2', 'Shadow Warrior (2013)']"
189,focus home interactive,Cities XL series (2011 and later),[],"['Cities XXL', 'Cities XL Platinum', 'Cities XL 2012', 'Cities XL 2011']"
191,frictional games,Penumbra seriesAmnesia: The Dark DescentSOMA,['Amnesia: The Dark Descent'],"['Amnesia: The Dark Descent', 'Amnesia: Justine', 'Amnesia: Collection', 'Amnesia: Final Revelations']"
192,frogwares,Adventures of Sherlock Holmes series,[],"['Sherlock Holmes versus Jack the Ripper', ""Sherlock Holmes: The Devil's Daughter"", 'Sherlock Holmes: The Mystery of the Mummy', 'World of Battles', 'Sherlock Holmes: Nemesis', 'Sherlock Holmes: The Awakened - Remastered', 'Sherlock Holmes: The Awakened', 'Sherlock Holmes and the Mystery of Osborne House', 'Sherlock Holmes: The Silver Earring', 'The Testament of Sherlock Holmes', 'Sherlock Holmes: Crimes and Punishments', 'Department 42: The Mystery of the Nine', 'Sherlock Holmes and the Mystery of the Frozen City', 'Journey: The Heart of Gaia']"
193,fromsoftware,Armored Core series Souls series  Demon's Souls Dark Souls series BloodborneSekiro: Shadows Die Twice,"['Dark Souls', ""Demon's Souls"", 'Sekiro: Shadows Die Twice']","['Sekiro: Shadows Die Twice', ""Demon's Souls"", 'Dark Souls II: Scholar of the First Sin', 'Armored Core: Silent Line', 'Dark Souls', 'Dark Souls III: The Ringed City DLC', 'Dark Souls III: The Fire Fades Edition']"
194,frontier developments,Elite seriesThrillvilleLostWindsKinectimalsRollerCoaster Tycoon 3Planet Coaster,"['Kinectimals', 'LostWinds', 'RollerCoaster Tycoon 3', 'Thrillville', 'Planet Coaster']","['Elite Dangerous: Horizons', 'Zoo Tycoon (2013)', 'Planet Coaster', 'RollerCoaster Tycoon 2: Wacky Worlds', 'Wallace & Gromit in Project Zoo', 'LostWinds', 'Thrillville', 'RollerCoaster Tycoon 3: Soaked!', 'Kinectimals', 'RollerCoaster Tycoon 2: Time Twister', 'RollerCoaster Tycoon 3', 'RollerCoaster Tycoon 3: Wild!', 'Elite Dangerous: Arena', 'Kinect Disneyland Adventures']"
195,frozenbyte,Shadowgrounds seriesTrine series,"['Shadowgrounds', 'Trine']","['Trine 2', 'Shadowgrounds Survivor', 'Trine 3: The Artifacts of Power', 'Trine 2: Complete Story', 'Trine', 'Shadowgrounds', 'Trine 2: Goblin Menace DLC']"
196,ftl games,Dungeon Master series,['Dungeon Master'],"['Dungeon Master II: The Legend of Skullkeep', 'Dungeon Master: Chaos Strikes Back - Expansion Set #1', 'Dungeon Master']"
197,fun labs,MIB: Alien CrisisCabela's series,[],"[""Cabela's 4x4 Off-Road Adventure 3"", ""Cabela's Trophy Bucks""]"
198,fun labs,MIB: Alien CrisisCabela's series,['MIB: Alien Crisis'],"['MIB: Alien Crisis', ""Cabela's Hunting Expeditions""]"
199,funcom,The Longest Journey seriesAnarchy OnlineAge of ConanThe Secret WorldConan Exiles,"['Anarchy Online', 'The Longest Journey', 'The Secret World', 'Conan Exiles']","['Secret World Legends', 'Anarchy Online', 'The Secret World', 'Dreamfall: The Longest Journey', 'Age of Conan: Unchained', 'The Park', 'Age of Conan: Rise of the Godslayer', 'LEGO Minifigures Online', 'The Longest Journey', 'Conan Exiles']"
200,furyu,Unchained Blades seriesBeyblade Burst seriesCardfight!! Vanguard series,['Unchained Blades'],['Unchained Blades']
201,futuremark,Shattered Horizon,[],[]
202,gaijin entertainment,War ThunderIL-2 Sturmovik: Birds of Prey,"['IL-2 Sturmovik: Birds of Prey', 'War Thunder']","['IL-2 Sturmovik: Birds of Prey', 'War Thunder']"
203,game arts,Thexder seriesLunar seriesGrandia series,"['Grandia', 'Thexder']","['Grandia II: Anniversary Edition', 'Grandia Xtreme', 'Faria: A World of Mystery and Danger', 'Grandia III', 'Thexder', 'Lunar: The Silver Star', 'Grandia', 'The Magic Obelisk']"
204,game freak,Pokémon series,[],[]
205,game freak,Pokémon series,[],"['Pokémon Ultra Sun and Ultra Moon', 'Pokémon World Online', 'Pokémon Red and Blue', 'Pokémon Sun and Moon', 'Pokémon Crystal', 'Pokémon Sword And Shield', 'Pokémon Ruby and Sapphire', 'Pokémon Gold and Silver', 'Pokémon Black and White', 'Pokémon FireRed and LeafGreen', 'Pokémon Emerald', 'Pokémon HeartGold and SoulSilver', 'Pokémon Yellow: Special Pikachu Edition', 'Pokémon Omega Ruby and Alpha Sapphire', 'Pokémon X and Y', 'Pokémon Sun and Moon - Special Demo Version', 'Pokémon Black and White 2', 'Pokémon Platinum', 'Pokémon Diamond and Pearl']"
206,gamehouse,Delicious series,[],"[""Delicious - Emily's Home Sweet Home"", ""Delicious - Emily's Message in a Bottle"", ""Delicious - Emily's Miracle of Life"", 'Delicious - Moms vs Dads']"
207,gamehouse,Delicious series,[],"['Delicious 2 Deluxe', 'Delicious Deluxe']"
208,gameloft,Modern Combat: DominationOrder & Chaos OnlineAssassin's Creed (for mobile)Asphalt,[],[]
209,gameloft,Modern Combat: DominationOrder & Chaos OnlineAssassin's Creed (for mobile)Asphalt,['Modern Combat: Domination'],['Modern Combat: Domination']
210,ganbarion,One Piece seriesJump Super Stars seriesWii Fit UDragon Ball Fusions,"['Jump Super Stars', 'Dragon Ball Fusions']","['Jump Ultimate Stars', 'One Piece: Grand Battle!', 'One Piece: Unlimited World Red', 'Dragon Ball Fusions', 'Jump Super Stars', 'One Piece: Unlimited World Red - Deluxe Edition', 'One Piece: Grand Adventure', 'One Piece: Unlimited Adventure', 'One Piece: Unlimited Cruise - Episode 1: The Treasure Beneath The Waves', 'One Piece: Unlimited Cruise - Episode 2: Awakening of a Hero', 'One Piece: Gigant Battle!', 'One Piece: World Seeker']"
211,gearbox software,Brothers In Arms seriesBorderlands seriesHalf-Life: Opposing Force,"['Borderlands', 'Half-Life: Opposing Force']","['Borderlands', ""Borderlands 2: Sir Hammerlock's Big Game Hunt DLC"", ""Borderlands 2: Captain Scarlett and Her Pirate's Booty DLC"", 'Borderlands 2: Ultimate Vault Hunter Upgrade Pack 2: Digistruct Peak Challenge', 'Half-Life: Opposing Force', ""Brothers in Arms: Hell's Highway"", 'Borderlands 2: Creature Slaughter Dome DLC', 'Borderlands Triple Pack', 'Borderlands: Game of the Year', 'Borderlands 2: Game of the Year Edition', ""Borderlands 2: Tiny Tina's Assault on Dragon Keep DLC"", 'Brothers in Arms: D-Day', 'Brothers in Arms: Double Time', 'Half-Life: Blue Shift', 'Aliens: Colonial Marines - Stasis Interrupted DLC', 'Borderlands: The Pre-Sequel! - Claptastic Voyage', 'Borderlands: The Pre-Sequel! - The Holodome Onslaught', ""Borderlands 2: Mr. Torgue's Campaign of Carnage DLC""]"
212,genius sonority,Pokémon Colosseum seriesPokémon Trozei! seriesThe Denpa Men series,"['Pokémon Colosseum', 'Pokémon Trozei!']","['The Denpa Men 3: The Rise of Digitoll', 'Pokémon Battle Revolution', 'Pokémon Trozei!', 'Pokémon Battle Trozei', 'Pokémon XD: Gale of Darkness', 'Pokémon Colosseum', 'Pokémon Shuffle', 'The Denpa Men 2: Beyond the Waves', 'The Denpa Men: They Came By Wave']"
213,genki,Shutokou Battle series,[],['Tokyo Highway Battle']
214,glu mobile,Deer Hunter series,[],[]
217,good-feel,Kirby's Epic YarnYoshi's Woolly WorldYoshi's Crafted World,[],[]
218,grasshopper manufacture,"The Silver CaseFlower, Sun, and Rainkiller7No More Heroes seriesShadows of the DamnedLollipop ChainsawKiller Is DeadLet It Die","['Killer Is Dead', 'Lollipop Chainsaw', 'No More Heroes', 'Shadows of the Damned', 'The Silver Case', 'Let It Die']","['Travis Strikes Again: No More Heroes - Bubblegum Fatale', 'Let It Die', 'Shadows of the Damned', 'No More Heroes', 'Killer Is Dead', 'Travis Strikes Again: No More Heroes - Black Dandelion', 'No More Heroes 2: Desperate Struggle', 'The Silver Case', 'Travis Strikes Again: No More Heroes', 'Lollipop Chainsaw']"
219,gravity,Ragnarok Online,['Ragnarok Online'],['Ragnarok Online']
220,gravity,Ragnarok Online,[],[]
221,gray matter interactive,Call of Duty: United Offensive,['Call of Duty: United Offensive'],['Call of Duty: United Offensive']
222,gremlin interactive,Zool and Premier Manager,[],[]
223,grezzo,The Legend of Zelda: Ocarina of Time 3DThe Legend of Zelda: Majora's Mask 3DThe Legend of Zelda: Tri Force HeroesEver OasisThe Legend of Zelda: Link's Awakening (2019 Remake),['Ever Oasis'],['Ever Oasis']
224,grinding gear games,Path of Exile,['Path of Exile'],['Path of Exile']
225,griptonite games,Marvel Super Hero Squad: Comic Combat,['Marvel Super Hero Squad: Comic Combat'],['Marvel Super Hero Squad: Comic Combat']
226,gsc game world,S.T.A.L.K.E.R series,[],[]
227,guerrilla cambridge,MediEvil series,[],[]
228,guerrilla games,Killzone seriesHorizon Zero Dawn,"['Killzone', 'Horizon Zero Dawn']","['Horizon Zero Dawn', 'Horizon Zero Dawn - Complete Edition', 'Killzone Trilogy', 'Killzone 3', 'Killzone', 'Killzone 2', 'Horizon Zero Dawn: The Frozen Wilds']"
229,gunfire games,Darksiders IIIRemnant: From the Ashes,['Darksiders III'],['Darksiders III']
230,gungho online entertainment,Puzzle & Dragons series,['Puzzle & Dragons'],"['Puzzle & Dragons Z', 'Puzzle & Dragons: Super Mario Bros. Edition', 'Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition', 'Puzzle & Dragons']"
231,gust,Atelier seriesFairy Tail,[],[]
232,gust,Atelier seriesFairy Tail,[],"['Atelier Totori: The Adventurer of Arland DX', 'Atelier Escha & Logy: Alchemists of the Dusk Sky', 'Atelier Firis: The Alchemist and the Mysterious Journey', 'Atelier Ayesha: The Alchemist of Dusk', 'Atelier Elie: The Alchemist of Salburg 2', 'Atelier Rorona: The Alchemist of Arland', 'Atelier Meruru: The Apprentice of Arland', 'Atelier Marie Plus', 'Atelier Iris 3: Grand Phantasm', 'Atelier Shallie: Alchemists of the Dusk Sea', 'Atelier Lulua: The Scion of Arland', 'Atelier Annie: Alchemists of Sera Island', 'Atelier Iris 2: The Azoth of Destiny', 'Atelier Ayesha Plus: The Alchemist of Dusk', 'Atelier Meruru: The Apprentice of Arland DX', 'Atelier Lydie & Suelle: The Alchemists and The Mysterious Paintings', 'Atelier Shallie Plus: Alchemists of the Dusk Sea', 'Atelier Rorona: The Alchemist of Arland DX', 'Atelier Iris: Eternal Mana', 'Atelier Totori: The Adventurer of Arland', 'Atelier Sophie: The Alchemist of the Mysterious Book', 'Atelier Escha & Logy Plus: Alchemists of the Dusk Sky']"
233,haemimont games,Tropico 5,['Tropico 5'],['Tropico 5']
234,hal laboratory,Kirby series Earthbound/Mother seriesPokémon Snap,[],"['Kirby Super Star', 'Pokémon Ranger', 'Kirby Battle Royale', 'Kirby and the Rainbow Curse', ""Revenge of the 'Gator"", 'Kirby Mass Attack', 'Kirby Star Allies', 'Kirby 64: The Crystal Shards', 'Kirby Super Star Ultra']"
235,halfbrick,Fruit Ninja seriesJetpack Joyride,[],[]
236,h.a.n.d.,Aikatsu! seriesKingdom Hearts 358/2 DaysDisney Magical World series,['Disney Magical World'],"['Disney Magical World', 'Kingdom Hearts Re:coded']"
237,hangar 13,Mafia III,['Mafia III'],['Mafia III']
